Commercial_Code,Service_Industry_Name,Administrative_District,Deposit_Amount,Monthly_Rent,Workplace,Resident,Male,Female,Monthly_Average_Sales,Age_Group_10s,Age_Group_20s,Age_Group_30s,Age_Group_40s,Age_Group_50s,Age_Group_60s
3110001,분식전문점,종로구,3971,13,50.73,49.27,43.85,56.15,3572,0,0,0,0,1,0
3110001,한식음식점,종로구,4080,8,50.73,49.27,43.85,56.15,14849,0,0,0,0,0,1
3110001,호프-간이주점,종로구,4071,10,50.73,49.27,43.85,56.15,863,0,0,0,0,0,1
3110002,커피-음료,종로구,4043,11,42.7,57.3,45.46,54.54,346,0,0,1,0,0,0
3110002,한식음식점,종로구,4080,8,42.7,57.3,45.46,54.54,14745,0,0,0,0,0,1
3110003,분식전문점,종로구,3971,13,16.19,83.81,45.22,54.78,1501,0,0,0,1,0,0
3110003,커피-음료,종로구,4043,11,16.19,83.81,45.22,54.78,890,0,0,0,1,0,0
3110003,한식음식점,종로구,4080,8,16.19,83.81,45.22,54.78,9110,0,0,0,0,0,1
3110003,호프-간이주점,종로구,4071,10,16.19,83.81,45.22,54.78,8107,0,0,1,0,0,0
3110004,한식음식점,종로구,4080,8,5.85,94.15,46.28,53.72,12956,0,0,0,0,0,1
3110005,한식음식점,종로구,4080,8,32.93,67.07,44.62,55.38,9390,0,0,0,0,0,1
3110006,커피-음료,종로구,4043,11,3.81,96.19,45.57,54.43,2348,0,0,1,0,0,0
3110007,한식음식점,종로구,4080,8,12.57,87.43,44.94,55.06,1300,0,0,1,0,0,0
3110008,분식전문점,종로구,3971,13,9.73,90.27,41.16,58.84,5674,1,1,0,0,0,0
3110008,양식음식점,종로구,2833,6,9.73,90.27,41.16,58.84,13265,0,1,0,0,0,0
3110008,일식음식점,종로구,3357,12,9.73,90.27,41.16,58.84,4022,0,0,1,0,0,0
3110008,커피-음료,종로구,4043,11,9.73,90.27,41.16,58.84,52504,1,1,1,1,1,0
3110008,패스트푸드점,종로구,5000,39,9.73,90.27,41.16,58.84,218,0,1,0,0,0,0
3110008,한식음식점,종로구,4080,8,9.73,90.27,41.16,58.84,36634,0,0,1,1,1,1
3110008,호프-간이주점,종로구,4071,10,9.73,90.27,41.16,58.84,867,0,1,0,0,0,0
3110009,양식음식점,종로구,2833,6,36.69,63.31,46.04,53.96,11956,0,0,1,0,0,0
3110009,패스트푸드점,종로구,5000,39,36.69,63.31,46.04,53.96,3661,0,0,1,0,0,0
3110009,한식음식점,종로구,4080,8,36.69,63.31,46.04,53.96,15752,0,0,0,0,1,0
3110010,분식전문점,종로구,3971,13,62.81,37.19,43.74,56.26,1676,0,0,0,0,1,0
3110010,양식음식점,종로구,2833,6,62.81,37.19,43.74,56.26,763,0,0,0,1,0,0
3110010,커피-음료,종로구,4043,11,62.81,37.19,43.74,56.26,16311,1,0,0,1,0,0
3110010,한식음식점,종로구,4080,8,62.81,37.19,43.74,56.26,1138,0,0,0,0,1,0
3110012,양식음식점,종로구,2833,6,35.12,64.88,44.27,55.73,33807,0,0,1,0,0,0
3110012,일식음식점,종로구,3357,12,35.12,64.88,44.27,55.73,2711,0,1,0,0,0,0
3110012,커피-음료,종로구,4043,11,35.12,64.88,44.27,55.73,13015,0,0,1,0,0,0
3110012,한식음식점,종로구,4080,8,35.12,64.88,44.27,55.73,36325,0,0,1,0,0,1
3110014,커피-음료,종로구,4043,11,17.16,82.84,51.19,48.81,678,0,0,1,0,0,0
3110014,한식음식점,종로구,4080,8,17.16,82.84,51.19,48.81,14310,0,0,0,0,0,1
3110015,커피-음료,종로구,4043,11,48.61,51.39,46.29,53.71,7373,0,1,0,0,0,0
3110016,커피-음료,종로구,4043,11,52.86,47.14,45.42,54.58,3049,0,0,0,0,1,0
3110016,한식음식점,종로구,4080,8,52.86,47.14,45.42,54.58,5271,0,0,0,0,1,0
3110017,커피-음료,종로구,4043,11,47.26,52.74,46.59,53.41,1060,0,1,0,0,0,0
3110018,분식전문점,종로구,3971,13,22.7,77.3,49.87,50.13,2176,0,1,0,0,0,0
3110018,커피-음료,종로구,4043,11,22.7,77.3,49.87,50.13,10723,0,0,1,0,0,0
3110018,한식음식점,종로구,4080,8,22.7,77.3,49.87,50.13,19779,0,0,1,0,0,0
3110019,분식전문점,종로구,3971,13,56.54,43.46,55.44,44.56,156,0,1,0,0,0,0
3110019,커피-음료,종로구,4043,11,56.54,43.46,55.44,44.56,18190,0,0,1,0,0,0
3110019,한식음식점,종로구,4080,8,56.54,43.46,55.44,44.56,200,0,0,1,0,0,0
3110019,호프-간이주점,종로구,4071,10,56.54,43.46,55.44,44.56,1441,0,0,1,0,0,0
3110020,분식전문점,종로구,3971,13,12.83,87.17,42.38,57.62,3065,0,1,0,0,0,0
3110020,일식음식점,종로구,3357,12,12.83,87.17,42.38,57.62,245,0,1,0,0,0,0
3110020,중식음식점,종로구,3917,12,12.83,87.17,42.38,57.62,571,0,1,0,0,0,0
3110020,커피-음료,종로구,4043,11,12.83,87.17,42.38,57.62,106,0,1,0,0,0,0
3110020,한식음식점,종로구,4080,8,12.83,87.17,42.38,57.62,16570,1,1,0,0,0,0
3110021,분식전문점,종로구,3971,13,17.15,82.85,44.03,55.97,204,0,1,0,0,0,0
3110021,양식음식점,종로구,2833,6,17.15,82.85,44.03,55.97,8609,0,1,0,0,0,0
3110021,중식음식점,종로구,3917,12,17.15,82.85,44.03,55.97,797,0,1,0,0,0,0
3110021,치킨전문점,종로구,6333,11,17.15,82.85,44.03,55.97,912,0,0,0,1,0,0
3110021,커피-음료,종로구,4043,11,17.15,82.85,44.03,55.97,7585,1,1,0,0,0,0
3110021,패스트푸드점,종로구,5000,39,17.15,82.85,44.03,55.97,4451,0,1,0,0,0,0
3110021,한식음식점,종로구,4080,8,17.15,82.85,44.03,55.97,18354,1,1,0,0,0,0
3110021,호프-간이주점,종로구,4071,10,17.15,82.85,44.03,55.97,4346,0,1,0,0,0,0
3110022,커피-음료,종로구,4043,11,24.63,75.37,44.3,55.7,2377,0,0,0,1,0,0
3110022,한식음식점,종로구,4080,8,24.63,75.37,44.3,55.7,8220,0,0,0,0,1,0
3110023,커피-음료,종로구,4043,11,13.33,86.67,43.94,56.06,11661,0,0,1,0,0,0
3110023,한식음식점,종로구,4080,8,13.33,86.67,43.94,56.06,23218,0,0,0,0,1,0
3110024,분식전문점,종로구,3971,13,43.89,56.11,44.15,55.85,25,0,0,1,0,0,0
3110024,커피-음료,종로구,4043,11,43.89,56.11,44.15,55.85,3750,0,1,0,0,0,0
3110024,한식음식점,종로구,4080,8,43.89,56.11,44.15,55.85,34587,0,0,0,1,1,1
3110025,한식음식점,종로구,4080,8,30.34,69.66,53.6,46.4,21834,0,0,0,0,1,0
3110027,양식음식점,종로구,2833,6,17.83,82.17,42.44,57.56,33,0,1,0,0,0,0
3110027,커피-음료,종로구,4043,11,17.83,82.17,42.44,57.56,5637,0,1,0,0,0,0
3110027,한식음식점,종로구,4080,8,17.83,82.17,42.44,57.56,3368,0,0,1,0,0,0
3110028,커피-음료,종로구,4043,11,14.77,85.23,49.9,50.1,5970,0,0,0,1,0,0
3110028,한식음식점,종로구,4080,8,14.77,85.23,49.9,50.1,14267,0,0,0,0,1,0
3110028,호프-간이주점,종로구,4071,10,14.77,85.23,49.9,50.1,429,0,0,0,0,1,0
3110029,분식전문점,종로구,3971,13,4.3,95.7,46.16,53.84,1355,0,1,0,0,0,0
3110029,치킨전문점,종로구,6333,11,4.3,95.7,46.16,53.84,8294,0,0,0,0,1,0
3110029,커피-음료,종로구,4043,11,4.3,95.7,46.16,53.84,31,0,0,0,1,0,0
3110029,한식음식점,종로구,4080,8,4.3,95.7,46.16,53.84,12502,0,0,0,0,1,0
3110030,양식음식점,종로구,2833,6,3.03,96.97,47.99,52.01,396,0,0,1,0,0,0
3110030,한식음식점,종로구,4080,8,3.03,96.97,47.99,52.01,25223,0,0,0,0,1,1
3110031,한식음식점,종로구,4080,8,13.79,86.21,44.94,55.06,334,0,1,0,0,0,0
3110032,한식음식점,종로구,4080,8,52.63,47.37,50.75,49.25,6178,0,0,1,0,0,0
3110033,한식음식점,종로구,4080,8,7.42,92.58,47.27,52.73,2957,0,0,0,0,1,0
3110034,한식음식점,종로구,4080,8,10.24,89.76,50.53,49.47,3141,0,0,0,0,1,0
3110035,분식전문점,종로구,3971,13,7.19,92.81,51.34,48.66,2057,0,0,0,0,1,0
3110035,커피-음료,종로구,4043,11,7.19,92.81,51.34,48.66,3518,0,1,0,0,0,0
3110035,한식음식점,종로구,4080,8,7.19,92.81,51.34,48.66,11045,0,0,0,0,1,0
3110036,한식음식점,종로구,4080,8,13.39,86.61,51.62,48.38,5399,0,0,0,0,0,1
3110037,치킨전문점,종로구,6333,11,11.71,88.29,47.1,52.9,380,0,0,1,0,0,0
3110037,한식음식점,종로구,4080,8,11.71,88.29,47.1,52.9,4125,0,0,0,0,1,0
3110038,분식전문점,중구,2250,9,98.92,1.08,50.32,49.68,12961,0,0,0,1,0,0
3110038,양식음식점,중구,2000,3,98.92,1.08,50.32,49.68,23250,0,0,0,0,1,0
3110038,중식음식점,중구,3000,4,98.92,1.08,50.32,49.68,10597,0,0,0,1,0,0
3110038,커피-음료,중구,2125,4,98.92,1.08,50.32,49.68,19681,1,0,1,0,0,0
3110038,한식음식점,중구,3000,5,98.92,1.08,50.32,49.68,39228,0,0,0,1,1,1
3110039,한식음식점,중구,3000,5,35.56,64.44,47.85,52.15,4994,0,0,1,0,0,0
3110040,커피-음료,중구,2125,4,14.82,85.18,49.48,50.52,8342,0,0,1,0,0,0
3110040,한식음식점,중구,3000,5,14.82,85.18,49.48,50.52,14057,0,0,0,1,0,0
3110041,분식전문점,중구,2250,9,57.4,42.6,46.6,53.4,488,0,0,1,0,0,0
3110041,양식음식점,중구,2000,3,57.4,42.6,46.6,53.4,60504,1,1,1,1,1,1
3110041,커피-음료,중구,2125,4,57.4,42.6,46.6,53.4,5141,0,1,0,0,0,0
3110041,한식음식점,중구,3000,5,57.4,42.6,46.6,53.4,72008,1,1,1,1,1,1
3110042,커피-음료,중구,2125,4,41.58,58.42,53.03,46.97,709,0,0,1,0,0,0
3110042,한식음식점,중구,3000,5,41.58,58.42,53.03,46.97,10668,0,0,0,0,1,0
3110043,분식전문점,중구,2250,9,35.62,64.38,53.46,46.54,1409,0,1,0,0,0,0
3110043,중식음식점,중구,3000,4,35.62,64.38,53.46,46.54,437,0,0,0,1,0,0
3110043,커피-음료,중구,2125,4,35.62,64.38,53.46,46.54,2361,0,1,0,0,0,0
3110043,한식음식점,중구,3000,5,35.62,64.38,53.46,46.54,16511,0,0,0,0,0,1
3110044,한식음식점,중구,3000,5,63.08,36.92,51.01,48.99,11621,0,0,0,0,1,0
3110045,분식전문점,중구,2250,9,20.1,79.9,48.36,51.64,2906,0,0,1,0,0,0
3110045,양식음식점,중구,2000,3,20.1,79.9,48.36,51.64,437,0,0,1,0,0,0
3110045,한식음식점,중구,3000,5,20.1,79.9,48.36,51.64,52596,0,1,1,1,1,1
3110045,호프-간이주점,중구,2500,5,20.1,79.9,48.36,51.64,4193,0,0,0,0,1,0
3110048,한식음식점,중구,3000,5,67.98,32.02,48.78,51.22,9571,0,0,0,0,1,0
3110049,커피-음료,중구,2125,4,53.71,46.29,47.94,52.06,10245,0,0,1,0,0,0
3110049,패스트푸드점,중구,1500,7,53.71,46.29,47.94,52.06,7527,0,0,1,0,0,0
3110049,한식음식점,중구,3000,5,53.71,46.29,47.94,52.06,63667,0,1,1,1,1,1
3110050,분식전문점,중구,2250,9,27.95,72.05,47.33,52.67,2082,0,0,0,0,1,0
3110050,한식음식점,중구,3000,5,27.95,72.05,47.33,52.67,26147,0,0,0,0,1,1
3110051,커피-음료,중구,2125,4,8.31,91.69,49.58,50.42,13,0,0,1,0,0,0
3110051,한식음식점,중구,3000,5,8.31,91.69,49.58,50.42,4168,0,0,0,1,0,0
3110052,한식음식점,중구,3000,5,21.7,78.3,47.01,52.99,40871,0,0,1,1,1,1
3110052,호프-간이주점,중구,2500,5,21.7,78.3,47.01,52.99,494,0,0,0,0,1,0
3110053,분식전문점,중구,2250,9,9.51,90.49,49.11,50.89,186,0,0,0,0,0,1
3110053,중식음식점,중구,3000,4,9.51,90.49,49.11,50.89,4756,0,0,1,0,0,0
3110053,치킨전문점,중구,767,4,9.51,90.49,49.11,50.89,2373,0,0,0,0,1,0
3110053,패스트푸드점,중구,1500,7,9.51,90.49,49.11,50.89,2162,0,0,0,0,1,0
3110053,한식음식점,중구,3000,5,9.51,90.49,49.11,50.89,12698,0,0,0,0,1,0
3110054,커피-음료,중구,2125,4,43.74,56.26,47.96,52.04,4055,0,0,1,0,0,0
3110054,패스트푸드점,중구,1500,7,43.74,56.26,47.96,52.04,5087,0,0,0,0,1,0
3110054,한식음식점,중구,3000,5,43.74,56.26,47.96,52.04,35916,0,1,1,1,1,1
3110055,한식음식점,중구,3000,5,8.91,91.09,49.54,50.46,3962,0,0,0,0,0,1
3110055,호프-간이주점,중구,2500,5,8.91,91.09,49.54,50.46,1383,0,0,1,0,0,0
3110056,분식전문점,중구,2250,9,9.12,90.88,46.41,53.59,69,0,0,0,0,0,1
3110056,커피-음료,중구,2125,4,9.12,90.88,46.41,53.59,3435,0,1,0,0,0,0
3110056,한식음식점,중구,3000,5,9.12,90.88,46.41,53.59,30211,0,1,1,0,1,1
3110056,호프-간이주점,중구,2500,5,9.12,90.88,46.41,53.59,1743,0,0,0,0,1,0
3110057,분식전문점,중구,2250,9,3.68,96.32,43.03,56.97,2318,0,0,1,0,0,0
3110057,치킨전문점,중구,767,4,3.68,96.32,43.03,56.97,1358,0,0,0,1,0,0
3110057,한식음식점,중구,3000,5,3.68,96.32,43.03,56.97,35774,0,0,1,1,1,1
3110058,일식음식점,용산구,4221,11,23.78,76.22,49.87,50.13,2295,0,0,0,0,0,1
3110058,중식음식점,용산구,3325,10,23.78,76.22,49.87,50.13,4735,0,0,0,1,0,0
3110058,커피-음료,용산구,3687,11,23.78,76.22,49.87,50.13,2807,0,0,1,0,0,0
3110058,한식음식점,용산구,3426,11,23.78,76.22,49.87,50.13,17808,0,0,0,0,1,1
3110059,분식전문점,용산구,2671,10,17.49,82.51,46.8,53.2,457,0,0,0,1,0,0
3110059,치킨전문점,용산구,3350,11,17.49,82.51,46.8,53.2,902,0,0,0,1,0,0
3110059,커피-음료,용산구,3687,11,17.49,82.51,46.8,53.2,2567,0,0,0,0,1,0
3110059,한식음식점,용산구,3426,11,17.49,82.51,46.8,53.2,2330,0,0,0,0,0,1
3110060,치킨전문점,용산구,3350,11,7.56,92.44,45.96,54.04,826,0,0,1,0,0,0
3110060,커피-음료,용산구,3687,11,7.56,92.44,45.96,54.04,1491,0,1,0,0,0,0
3110060,한식음식점,용산구,3426,11,7.56,92.44,45.96,54.04,11189,0,0,0,0,0,1
3110061,커피-음료,용산구,3687,11,11.06,88.94,45.27,54.73,660,0,1,0,0,0,0
3110061,한식음식점,용산구,3426,11,11.06,88.94,45.27,54.73,10783,0,0,0,0,1,0
3110062,양식음식점,용산구,3132,10,54.04,45.96,49.77,50.23,11442,0,0,1,0,0,0
3110062,중식음식점,용산구,3325,10,54.04,45.96,49.77,50.23,3231,0,0,0,1,0,0
3110062,치킨전문점,용산구,3350,11,54.04,45.96,49.77,50.23,1618,0,0,0,1,0,0
3110062,커피-음료,용산구,3687,11,54.04,45.96,49.77,50.23,19444,0,0,1,0,0,0
3110062,한식음식점,용산구,3426,11,54.04,45.96,49.77,50.23,134812,1,1,1,1,1,1
3110063,치킨전문점,용산구,3350,11,15.8,84.2,49.74,50.26,2999,0,0,0,1,0,0
3110063,한식음식점,용산구,3426,11,15.8,84.2,49.74,50.26,70632,0,1,1,1,1,1
3110063,호프-간이주점,용산구,4307,11,15.8,84.2,49.74,50.26,21552,0,0,0,1,0,0
3110064,분식전문점,용산구,2671,10,23.78,76.22,42.53,57.47,1368,0,0,0,0,1,0
3110064,커피-음료,용산구,3687,11,23.78,76.22,42.53,57.47,5819,0,0,1,0,0,0
3110064,한식음식점,용산구,3426,11,23.78,76.22,42.53,57.47,18947,0,0,0,0,0,1
3110066,분식전문점,용산구,2671,10,20.92,79.08,50.96,49.04,2907,0,0,1,0,0,0
3110066,중식음식점,용산구,3325,10,20.92,79.08,50.96,49.04,6805,0,0,0,0,1,0
3110066,커피-음료,용산구,3687,11,20.92,79.08,50.96,49.04,4847,0,0,1,0,0,0
3110066,한식음식점,용산구,3426,11,20.92,79.08,50.96,49.04,70683,0,0,1,1,1,1
3110067,분식전문점,용산구,2671,10,16.44,83.56,46.48,53.52,681,0,1,0,0,0,0
3110067,치킨전문점,용산구,3350,11,16.44,83.56,46.48,53.52,750,0,0,0,1,0,0
3110067,커피-음료,용산구,3687,11,16.44,83.56,46.48,53.52,2785,0,0,0,1,0,0
3110067,한식음식점,용산구,3426,11,16.44,83.56,46.48,53.52,18580,0,0,0,0,1,0
3110067,호프-간이주점,용산구,4307,11,16.44,83.56,46.48,53.52,1803,0,0,0,1,0,0
3110068,분식전문점,용산구,2671,10,24.66,75.34,46.56,53.44,1005,0,0,1,0,0,0
3110068,중식음식점,용산구,3325,10,24.66,75.34,46.56,53.44,7087,0,0,1,0,0,0
3110068,커피-음료,용산구,3687,11,24.66,75.34,46.56,53.44,20486,0,1,1,0,0,0
3110068,한식음식점,용산구,3426,11,24.66,75.34,46.56,53.44,82446,0,1,1,1,1,1
3110068,호프-간이주점,용산구,4307,11,24.66,75.34,46.56,53.44,2601,0,0,1,0,0,0
3110069,분식전문점,용산구,2671,10,13.28,86.72,38.25,61.75,46746,1,1,1,1,1,0
3110069,양식음식점,용산구,3132,10,13.28,86.72,38.25,61.75,28350,1,1,0,0,0,0
3110069,일식음식점,용산구,4221,11,13.28,86.72,38.25,61.75,23138,1,1,0,0,0,0
3110069,중식음식점,용산구,3325,10,13.28,86.72,38.25,61.75,16965,1,1,0,0,0,0
3110069,치킨전문점,용산구,3350,11,13.28,86.72,38.25,61.75,7909,0,1,0,0,0,0
3110069,커피-음료,용산구,3687,11,13.28,86.72,38.25,61.75,23987,1,1,0,0,0,0
3110069,패스트푸드점,용산구,2800,16,13.28,86.72,38.25,61.75,16686,1,1,0,0,0,0
3110069,한식음식점,용산구,3426,11,13.28,86.72,38.25,61.75,99424,1,1,1,1,1,1
3110069,호프-간이주점,용산구,4307,11,13.28,86.72,38.25,61.75,13438,1,1,0,0,0,0
3110070,패스트푸드점,용산구,2800,16,61.62,38.38,48.13,51.87,520,0,0,0,0,0,1
3110070,한식음식점,용산구,3426,11,61.62,38.38,48.13,51.87,7761,0,0,0,0,0,1
3110071,양식음식점,용산구,3132,10,38.04,61.96,45.94,54.06,17377,0,0,0,0,0,1
3110071,한식음식점,용산구,3426,11,38.04,61.96,45.94,54.06,19579,0,0,0,0,0,1
3110072,양식음식점,용산구,3132,10,74.25,25.75,44.22,55.78,2557,0,0,1,0,0,0
3110072,커피-음료,용산구,3687,11,74.25,25.75,44.22,55.78,1196,0,0,1,0,0,0
3110072,한식음식점,용산구,3426,11,74.25,25.75,44.22,55.78,86561,1,1,1,1,1,0
3110072,호프-간이주점,용산구,4307,11,74.25,25.75,44.22,55.78,27184,0,1,1,0,0,0
3110073,한식음식점,용산구,3426,11,94.32,5.68,53.56,46.44,7637,0,0,1,0,0,0
3110074,분식전문점,용산구,2671,10,72.08,27.92,52.64,47.36,2943,0,0,0,1,0,0
3110074,양식음식점,용산구,3132,10,72.08,27.92,52.64,47.36,1812,0,0,1,0,0,0
3110074,일식음식점,용산구,4221,11,72.08,27.92,52.64,47.36,7220,0,0,1,0,0,0
3110074,중식음식점,용산구,3325,10,72.08,27.92,52.64,47.36,5360,0,0,0,1,0,0
3110074,치킨전문점,용산구,3350,11,72.08,27.92,52.64,47.36,1160,0,0,1,0,0,0
3110074,커피-음료,용산구,3687,11,72.08,27.92,52.64,47.36,16753,0,0,1,0,0,0
3110074,패스트푸드점,용산구,2800,16,72.08,27.92,52.64,47.36,6591,0,0,1,0,0,0
3110074,한식음식점,용산구,3426,11,72.08,27.92,52.64,47.36,173486,0,1,1,1,1,1
3110074,호프-간이주점,용산구,4307,11,72.08,27.92,52.64,47.36,2577,0,0,0,0,1,0
3110075,치킨전문점,용산구,3350,11,33.03,66.97,51.24,48.76,647,0,0,0,0,1,0
3110075,커피-음료,용산구,3687,11,33.03,66.97,51.24,48.76,12296,0,1,0,0,0,0
3110075,한식음식점,용산구,3426,11,33.03,66.97,51.24,48.76,6544,0,0,0,0,1,0
3110076,커피-음료,용산구,3687,11,96.24,3.76,54.25,45.75,4718,0,0,1,0,0,0
3110076,한식음식점,용산구,3426,11,96.24,3.76,54.25,45.75,21658,0,0,1,0,0,0
3110077,한식음식점,용산구,3426,11,23.27,76.73,47.62,52.38,17651,1,0,1,0,0,0
3110078,한식음식점,용산구,3426,11,12.78,87.22,45.42,54.58,3106,0,0,0,0,0,1
3110079,분식전문점,용산구,2671,10,9.36,90.64,47.28,52.72,13242,0,0,0,0,1,0
3110079,양식음식점,용산구,3132,10,9.36,90.64,47.28,52.72,27162,0,0,1,0,0,0
3110079,일식음식점,용산구,4221,11,9.36,90.64,47.28,52.72,3529,0,1,0,0,0,0
3110079,중식음식점,용산구,3325,10,9.36,90.64,47.28,52.72,6293,0,0,0,1,0,0
3110079,치킨전문점,용산구,3350,11,9.36,90.64,47.28,52.72,3954,0,0,1,0,0,0
3110079,커피-음료,용산구,3687,11,9.36,90.64,47.28,52.72,25663,0,0,1,0,0,0
3110079,한식음식점,용산구,3426,11,9.36,90.64,47.28,52.72,71821,0,1,1,1,1,1
3110080,양식음식점,용산구,3132,10,6.89,93.11,47.82,52.18,1354,0,1,0,0,0,0
3110080,커피-음료,용산구,3687,11,6.89,93.11,47.82,52.18,1329,0,0,1,0,0,0
3110080,한식음식점,용산구,3426,11,6.89,93.11,47.82,52.18,7640,0,1,0,0,0,0
3110081,분식전문점,용산구,2671,10,6.23,93.77,46.23,53.77,2246,0,0,1,0,0,0
3110081,양식음식점,용산구,3132,10,6.23,93.77,46.23,53.77,79362,1,1,1,1,0,0
3110081,커피-음료,용산구,3687,11,6.23,93.77,46.23,53.77,5662,0,0,1,0,0,0
3110081,패스트푸드점,용산구,2800,16,6.23,93.77,46.23,53.77,22535,0,1,1,0,0,0
3110081,한식음식점,용산구,3426,11,6.23,93.77,46.23,53.77,14865,0,1,0,0,0,0
3110081,호프-간이주점,용산구,4307,11,6.23,93.77,46.23,53.77,3593,0,0,1,0,0,0
